sample_id,year
ca568529-351a-43af-8cec-7175488f66ea,2018
ca568529-351a-43af-8cec-7175488f66ea,2018
ca568529-351a-43af-8cec-7175488f66ea,2018
ca568529-351a-43af-8cec-7175488f66ea,2018
ca568529-351a-43af-8cec-7175488f66ea,2018
ca568529-351a-43af-8cec-7175488f66ea,2018
ca568529-351a-43af-8cec-7175488f66ea,2018
ca568529-351a-43af-8cec-7175488f66ea,2018
b1fa5e1c-d013-4716-b4b0-6552ad1c50de,2018
b1fa5e1c-d013-4716-b4b0-6552ad1c50de,2018
b1fa5e1c-d013-4716-b4b0-6552ad1c50de,2018
b1fa5e1c-d013-4716-b4b0-6552ad1c50de,2018
b1fa5e1c-d013-4716-b4b0-6552ad1c50de,2018
b1fa5e1c-d013-4716-b4b0-6552ad1c50de,2018
b1fa5e1c-d013-4716-b4b0-6552ad1c50de,2018
b1fa5e1c-d013-4716-b4b0-6552ad1c50de,2018
b1fa5e1c-d013-4716-b4b0-6552ad1c50de,2018
b1fa5e1c-d013-4716-b4b0-6552ad1c50de,2018
00aa2ddb-1819-475c-85e6-ed39d6efe6bc,2018
00aa2ddb-1819-475c-85e6-ed39d6efe6bc,2018
00aa2ddb-1819-475c-85e6-ed39d6efe6bc,2018
00aa2ddb-1819-475c-85e6-ed39d6efe6bc,2018
00aa2ddb-1819-475c-85e6-ed39d6efe6bc,2018
00aa2ddb-1819-475c-85e6-ed39d6efe6bc,2018
00aa2ddb-1819-475c-85e6-ed39d6efe6bc,2018
00aa2ddb-1819-475c-85e6-ed39d6efe6bc,2018
00aa2ddb-1819-475c-85e6-ed39d6efe6bc,2018
00aa2ddb-1819-475c-85e6-ed39d6efe6bc,2018
d10f09d8-ed43-4637-a5ea-a417710ec229,2018
d10f09d8-ed43-4637-a5ea-a417710ec229,2018
d10f09d8-ed43-4637-a5ea-a417710ec229,2018
d10f09d8-ed43-4637-a5ea-a417710ec229,2018
68a72f64-a9de-4d22-a598-71f7740af43c,2018
68a72f64-a9de-4d22-a598-71f7740af43c,2018
68a72f64-a9de-4d22-a598-71f7740af43c,2018
68a72f64-a9de-4d22-a598-71f7740af43c,2018
80593f69-1f6a-4717-8d64-2e5d85552b7f,2018
80593f69-1f6a-4717-8d64-2e5d85552b7f,2018
80593f69-1f6a-4717-8d64-2e5d85552b7f,2018
80593f69-1f6a-4717-8d64-2e5d85552b7f,2018
74425020-6951-4ccb-b88e-217d079b6719,2018
74425020-6951-4ccb-b88e-217d079b6719,2018
74425020-6951-4ccb-b88e-217d079b6719,2018
